ID nummer;Naam;Begin vers;Eind vers
96;Voorschriften omtrent onreine vloeiingen;Leviticus 15:1;Leviticus 15:33
97;Grote verzoendag;Leviticus 16:1;Leviticus 16:34
98;Bloed is levenskracht;Leviticus 17:1;Leviticus 17:16
99;Bepalingen en regels voor het heilige volk;Leviticus 18:1;Leviticus 20:27
100;Voorschriften en bepalingen voor de priesters;Leviticus 21:1;Leviticus 21:24
101;Voorschriften en bepalingen omtrent de heilige gaven;Leviticus 22:1;Leviticus 22:33
102;Feestdagen;Leviticus 23:1;Leviticus 23:44
103;De lampen en het toonbrood;Leviticus 24:1;Leviticus 24:9
104;Eén wet voor vreemdelingen en Israëlieten;Leviticus 24:10;Leviticus 24:23
105;Sabbatsjaar en jubeljaar;Leviticus 25:1;Leviticus 26:46
106;Bepalingen omtrent het afkopen van geloften aan de Heer;Leviticus 27:1;Leviticus 27:34
107;Telling van de Israëlieten;Numeri 1:1;Numeri 1:54
108;Legering van de Israëlieten;Numeri 2:1;Numeri 2:34
109;Telling van de Levieten, hun taken;Numeri 3:1;Numeri 4:49
110;Voorschriften bij onreinheid en ontrouw;Numeri 5:1;Numeri 5:31
111;Voorschriften voor nazireeër;Numeri 6:1;Numeri 6:21
112;De pristerzegen;Numeri 6:22;Numeri 6:27
113;De inwijdingsgeschenken;Numeri 7:1;Numeri 7:89
114;De lampenstandaard;Numeri 8:1;Numeri 8:4
115;Wijding van de Levieten;Numeri 8:5;Numeri 8:26
116;Pesachviering;Numeri 9:1;Numeri 9:14
117;De wolk;Numeri 9:15;Numeri 9:23
118;De trompetten;Numeri 10:1;Numeri 10:10
119;Vertek uit de Sinaiwoestijn;Numeri 10:11;Numeri 10:36
120;Het volk klaagt;Numeri 11:1;Numeri 11:35
121;Mozes' gezag betwist;Numeri 12:1;Numeri 12:16
122;Verkenning van Kanaän;Numeri 13:1;Numeri 14:45
123;Regels en voorschriften;Numeri 15:1;Numeri 15:41
124;Het gezag van Mozes en Aäron betwist;Numeri 16:1;Numeri 17:28
125;Taken en inkomsten van priesters en Levieten;Numeri 18:1;Numeri 18:32
126;Het reinigingswater;Numeri 19:1;Numeri 19:22
127;Mirjams dood;Numeri 20:1;Numeri 20:13
128;Edom weigert Israël de doortocht;Numeri 20:14;Numeri 20:21
129;Aärons dood;Numeri 20:22;Numeri 20:29
130;De koniing van Arad verslagen;Numeri 21:1;Numeri 21:3
131;De koperen slang;Numeri 21:4;Numeri 21:9
132;Van Obot naar de Pisga;Numeri 21:10;Numeri 21:20
133;Sichon en Og verslagen;Numeri 21:21;Numeri 22:1
134;Bileam en Balak;Numeri 22:2;Numeri 24:25
135;Israël vereert de Baäl van de Peor;Numeri 25:1;Numeri 25:18
136;De Israëlieten opnieuw geteld;Numeri 25:19;Numeri 26:65
137;Erfrecht van vrouwen;Numeri 27:1;Numeri 27:11
138;Mozes draagt de leiding over aan Jozua;Numeri 27:12;Numeri 27:23
139;Dagelijkse offers en offers op hoogtijdagen;Numeri 28:1;Numeri 30:1
140;Geloften van vrouwen;Numeri 30:2;Numeri 30:17
141;Wraak op de Midjanieten en verdeling van de buit;Numeri 31:1;Numeri 31:54
142;Toewijzing van grondbezit ten oosten van de Jordaan;Numeri 32:1;Numeri 32:42
143;Lijst van pleisterplaatsen;Numeri 33:1;Numeri 33:49
144;Verdeling van Kanaän;Numeri 33:50;Numeri 34:29
145;Steden voor de Levieten en vrijplaatsen;Numeri 35:1;Numeri 35:34
146;Erfelijk bezit en huwelijk;Numeri 36:1;Numeri 36:13
147;Terugblijk op Israëls geschiedenis;Deuteronomium 1:1;Deuteronomium 4:40
148;Aanwijzing van vrijplaatsen;Deuteronomium 4:41;Deuteronomium 4:43
149;Afkondiging van de tien geboden;Deuteronomium 4:44;Deuteronomium 6:3
150;De Heer is de enige;Deuteronomium 6:4;Deuteronomium 6:25
151;Omgang met andere volken;Deuteronomium 7:1;Deuteronomium 7:26
152;Vergeet in voorspoed de Heer niet;Deuteronomium 8:1;Deuteronomium 8:20
153;Geen reden voor zelfverheffing;Deuteronomium 9:1;Deuteronomium 12:1
154;Eén plaats om te offeren;Deuteronomium 12:2;Deuteronomium 12:28
155;Tegen verleiding tot afgodendiesnt;Deuteronomium 12:29;Deuteronomium 13:19
156;Verboden rouwgebruiken;Deuteronomium 14:1;Deuteronomium 14:21
157;Over plichten op gezette tijden;Deuteronomium 14:22;Deuteronomium 15:23
158;Over de grote feesten;Deuteronomium 16:1;Deuteronomium 16:17
159;Over rechters, koningen, priesters en profeten;Deuteronomium 16:18;Deuteronomium 18:22
160;Over zaken van leven en dood;Deuteronomium 19:1;Deuteronomium 21:9
161;Familierecht;Deuteronomium 21:10;Deuteronomium 21:21
162;Diverse voorschriften;Deuteronomium 21:22;Deuteronomium 22:12
163;Over seksuele misdrijven;Deuteronomium 22:13;Deuteronomium 23:1
164;Diverse voorschriften;Deuteronomium 23:2;Deuteronomium 25:19
165;Gebeden bij het afdragen van gaven, slotwoord van Mozes;Deuteronomium 26:1;Deuteronomium 26:19
166;Aanwijzingen voor de plechtigheden na de oversteek;Deuteronomium 27:1;Deuteronomium 27:26
167;Zegen en vloek;Deuteronomium 28:1;Deuteronomium 28:69
168;Verdere vermaningen;Deuteronomium 29:1;Deuteronomium 30:20
169;Mozes' opvolging;Deuteronomium 31:1;Deuteronomium 31:8
170;Laatste aanwijzingen, het lied van Mozes;Deuteronomium 31:9;Deuteronomium 32:47
171;Mozes' zegen en zijn dood;Deuteronomium 32:48;Deuteronomium 34:12
172;Opdracht van de Heer aan Jozua;Jozua 1:1;Jozua 1:18
173;Spionnen in Jericho;Jozua 2:1;Jozua 2:24
174;Overtocht over de Jordaan;Jozua 3:1;Jozua 5:1
175;Besnijdenis en Pesach;Jozua 5:2;Jozua 5:12
176;Vernietiging van Jericho;Jozua 5:13;Jozua 6:27
177;Schending van de ban;Jozua 7:1;Jozua 7:26
