ID nummer;Naam;Begin vers;Eind vers
389;De generaties van Adam tot Abraham;1 Kronieken 1:1;1 Kronieken 1:27
390;Afstammelingen van Abraham;1 Kronieken 1:28;1 Kronieken 1:54
391;Afstammelingen van Juda;1 Kronieken 2:1;1 Kronieken 2:35
392;Afstammelingen van David;1 Kronieken 3:1;1 Kronieken 3:24
393;Andere afstammelingen van Juda;1 Kronieken 4:1;1 Kronieken 4:23
394;Afstammelingen van Simeon;1 Kronieken 4:24;1 Kronieken 4:43
395;Afstammelingen van Ruben, Gad en Manasse;1 Kronieken 5:1;1 Kronieken 5:26
396;Afstammelingen van Levi, hun taken en woongebieden;1 Kronieken 5:27;1 Kronieken 6:66
397;Afstammelingen van Issachar;1 Kronieken 7:1;1 Kronieken 7:5
398;Afstammelingen van Benjamin en Naftali;1 Kronieken 7:6;1 Kronieken 7:13
399;Afstammelingen van Manasse en Efraïm;1 Kronieken 7:14;1 Kronieken 7:29
400;Afstammelingen van Aser;1 Kronieken 7:30;1 Kronieken 7:40
401;Afstammelingen van Benjamin;1 Kronieken 8:1;1 Kronieken 9:1
402;De inwoners van Jeruzalem na de terugkeer uit Babylonië;1 Kronieken 9:1;1 Kronieken 9:34
403;Stamboom van Saul;1 Kronieken 9:35;1 Kronieken 9:44
404;Sauls dood;1 Kronieken 10:1;1 Kronieken 10:14
405;David wordt tot koning van Israël gezalfd en verovert Jeruzalem;1 Kronieken 11:1;1 Kronieken 11:9
406;Davids helden;1 Kronieken 11:10;1 Kronieken 11:47
407;Davids aanhangers;1 Kronieken 12:1;1 Kronieken 12:41
408;De ark opgehaald uit Kirjat-Jearim;1 Kronieken 13:1;1 Kronieken 13:14
409;David vestigt zich in Jeruzalem;1 Kronieken 14:1;1 Kronieken 14:7
410;Twee aanvallen van de Filistijnen afgeslagen;1 Kronieken 14:8;1 Kronieken 14:17
411;De ark feestelijk ingehaald in Jeruzalem;1 Kronieken 15:1;1 Kronieken 16:43
412;Toezeggingen over de voortzetting van Davids koningshuis;1 Kronieken 17:1;1 Kronieken 17:27
413;Davids overwinningen;1 Kronieken 18:1;1 Kronieken 18:13
414;Davids ambtenaren;1 Kronieken 18:14;1 Kronieken 18:17
415;Oorlog tegen de Ammonieten en de Arameeërs;1 Kronieken 19:1;1 Kronieken 20:3
416;Heldendaden tegen het reuzengeslacht van de Refaïeten;1 Kronieken 20:4;1 Kronieken 20:8
417;De volkstelling;1 Kronieken 21:1;1 Kronieken 22:1
418;Voorbereidingen op de tempelbouw;1 Kronieken 22:2;1 Kronieken 22:19
419;Indeling en taken van de Levieten;1 Kronieken 23:1;1 Kronieken 23:32
420;Indeling van de priesters;1 Kronieken 24:1;1 Kronieken 24:19
421;Indeling van de overige Levieten;1 Kronieken 24:20;1 Kronieken 24:31
422;De zangers;1 Kronieken 25:1;1 Kronieken 25:31
423;De poortwachters;1 Kronieken 26:1;1 Kronieken 26:19
424;De schatbewaarders, rechters en bestuursambtenaren;1 Kronieken 26:20;1 Kronieken 26:32
425;Indeling van de overige Israëlieten;1 Kronieken 27:1;1 Kronieken 27:34
426;David draagt zijn taken over aan Salomo;1 Kronieken 28:1;1 Kronieken 29:30
427;Salomo's wijsheid en rijkdom;2 Kronieken 1:1;2 Kronieken 1:17
428;Voorbereidingen voor de tempelbouw;2 Kronieken 1:18;2 Kronieken 2:17
429;Bouw en inrichting van de tempel;2 Kronieken 3:1;2 Kronieken 5:1
430;De inwijding van de tempel;2 Kronieken 5:2;2 Kronieken 7:10
431;Belofte aan Salomo;2 Kronieken 7:11;2 Kronieken 7:22
432;Andere ondernemingen van Salomo;2 Kronieken 8:1;2 Kronieken 8:18
433;Bezoek van de koningin van Seba;2 Kronieken 9:1;2 Kronieken 9:12
434;Salomo's rijkdom;2 Kronieken 9:13;2 Kronieken 9:28
435;Salomo's dood;2 Kronieken 9:29;2 Kronieken 9:31
436;De scheuring van het rijk;2 Kronieken 10:1;2 Kronieken 11:4
437;De regering van Rechabeam;2 Kronieken 11:5;2 Kronieken 12:16
438;De regering van Abia;2 Kronieken 13:1;2 Kronieken 13:23
439;De regering van Asa;2 Kronieken 13:23;2 Kronieken 17:1
440;De regering van Josafat;2 Kronieken 17:1;2 Kronieken 17:19
441;Josafat trekt met koning Achab van Israël ten strijde tegen Aram;2 Kronieken 18:1;2 Kronieken 19:3
442;Josafat regelt de rechtspraak;2 Kronieken 19:4;2 Kronieken 19:11
443;Overwinning op de Moabieten en de Ammonieten;2 Kronieken 20:1;2 Kronieken 20:30
444;Het einde van Josafats regering;2 Kronieken 20:31;2 Kronieken 21:4
445;De regering van Joram;2 Kronieken 21:5;2 Kronieken 22:1
446;De regering van Achazja;2 Kronieken 22:1;2 Kronieken 22:9
447;Opstand tegen Atalja;2 Kronieken 22:10;2 Kronieken 23:21
448;De regering van Joas;2 Kronieken 24:1;2 Kronieken 24:27
449;De regering van Amasja;2 Kronieken 25:1;2 Kronieken 26:2
450;De regering van Uzzia;2 Kronieken 26:3;2 Kronieken 26:23
451;De regering van Jotam;2 Kronieken 27:1;2 Kronieken 27:9
452;De regering van Achaz;2 Kronieken 28:1;2 Kronieken 28:27
453;Jechizkia neemt de tempel weer in gebruik;2 Kronieken 29:1;2 Kronieken 29:36
454;Jechizkia herstelt de pesachviering in ere;2 Kronieken 30:1;2 Kronieken 31:1
455;Jechizkia regelt de bijdragen voor de tempel;2 Kronieken 31:2;2 Kronieken 31:21
456;Jeruzalem door Sanherib bedreigd;2 Kronieken 32:1;2 Kronieken 32:23
457;Het verdere verloop van de regering van Jechizkia;2 Kronieken 32:24;2 Kronieken 32:33
458;De regering van Manasse;2 Kronieken 33:1;2 Kronieken 33:20
459;De regering van Amon;2 Kronieken 33:21;2 Kronieken 33:25
460;De regering van Josia;2 Kronieken 34:1;2 Kronieken 34:33
461;Pesachviering;2 Kronieken 35:1;2 Kronieken 35:19
462;De dood van Josia;2 Kronieken 35:20;2 Kronieken 36:1
463;De regering van Joachaz;2 Kronieken 36:2;2 Kronieken 36:4
464;De regering van Jojakim;2 Kronieken 36:5;2 Kronieken 36:8
465;De regering van Jojachin;2 Kronieken 36:9;2 Kronieken 36:10
466;De regering van Sedekia, de verwoesting van Jeruzalem;2 Kronieken 36:11;2 Kronieken 36:21
467;Opdracht tot herbouw van de tempel;2 Kronieken 36:22;2 Kronieken 36:23
468;Opdracht tot herbouw van de tempel;Ezra 1:1;Ezra 1:4
469;Terugkeer naar Jeruzalem;Ezra 1:5;Ezra 1:11
470;Lijst van teruggekeerde ballingen;Ezra 2:1;Ezra 2:70
471;Begin van de herbouw aan de tempel;Ezra 3:1;Ezra 3:13
472;Ondanks verzet wordt de tempel herbouwd;Ezra 4:1;Ezra 6:22
473;Ezra vertrekt naar Jeruzalem;Ezra 7:1;Ezra 8:36
474;De schuld van het volk;Ezra 9:1;Ezra 9:15
475;Uitheemse vrouwen met hun kinderen weggestuurd;Ezra 10:1;Ezra 10:44
476;Intro;Nehemia 1:1;Nehemia 1:11
477;Nehemia gaat naar Jeruzalem;Nehemia 2:1;Nehemia 2:10
478;Nehemia krijgt medestanders in Jeruzalem;Nehemia 2:11;Nehemia 2:20
479;Herbouw van de stadsmuur;Nehemia 3:1;Nehemia 3:32
480;Tegenwerking bij het herstel van de muur;Nehemia 3:33;Nehemia 4:17
481;Het goede bestuur van Nehemia;Nehemia 5:1;Nehemia 5:19
482;Meer tegenwerking;Nehemia 6:1;Nehemia 7:5
483;Lijst van teruggekeerde ballingen;Nehemia 7:6;Nehemia 7:72
484;Voorlezing uit de wet;Nehemia 7:72;Nehemia 8:18
485;Vernieuwing van het verbond;Nehemia 9:1;Nehemia 10:40
486;De inwoners van Jeruzalem en andere steden;Nehemia 11:1;Nehemia 11:36
487;Lijst van priesters en Levieten;Nehemia 12:1;Nehemia 12:26
488;Inwijding van de stadsmuur;Nehemia 12:27;Nehemia 12:43
489;Over het gebruik van de tempelruimtes;Nehemia 12:44;Nehemia 13:14
490;Nehemia treedt op tegen misstanden;Nehemia 13:15;Nehemia 13:31
491;Koningin Wasti verstoten;Ester 1:1;Ester 1:22
492;Ester als koningin gekozen;Ester 2:1;Ester 2:18
493;Mordechai verijdelt een aanslag;Ester 2:19;Ester 2:23
494;Bevelschift tegen de Joden;Ester 3:1;Ester 3:15
495;Modechais beroep op Ester;Ester 4:1;Ester 4:17
496;Feestmaal bij Ester;Ester 5:1;Ester 5:14
497;Mordechai geëerd;Ester 6:1;Ester 6:14
498;Val van Haman;Ester 7:1;Ester 8:2
499;Bevelschift ten gunste van de Joden;Ester 8:3;Ester 8:17
500;De vijanden verslagen;Ester 9:1;Ester 9:19
501;Voorschriften voor het poerimfeest;Ester 19:20;Ester 19:32
502;Mordechais aanzien;Ester 10:1;Ester 10:3
503;Jobs beproeving;Job 1:1;Job 2:13
504;Jobs klacht;Job 3:1;Job 3:26
505;Elifaz' eerste betoog;Job 4:1;Job 5:27
506;Jobs antwoord op Elifaz' eerste betoog;Job 6:1;Job 7:21
507;Bildads eerste betoog;Job 8:1;Job 8:22
508;Jobs antwoord op Bildads eerste betoog;Job 9:1;Job 10:22
509;Sofars eerste betoog;Job 11:1;Job 11:20
510;Jobs antwoord op Sofars eerste betoog;Job 12:1;Job 14:22
511;Elifaz' tweede betoog;Job 15:1;Job 15:35
512;Jobs antwoord op Elifaz' tweede betoog;Job 16:1;Job 17:16
513;Bildads tweede betoog;Job 18:1;Job 18:21
514;Jobs antwoord op Bildads tweede betoog;Job 19:1;Job 19:29
515;Sofars tweede betoog;Job 20:1;Job 20:29
516;Jobs antwoord op Sofars tweede betoog;Job 21:1;Job 21:34
517;Elifaz' derde betoog;Job 22:1;Job 22:30
518;Jobs antwoord op Elifaz' derde betoog;Job 23:1;Job 24:25
519;Bildads derde betoog;Job 25:1;Job 25:6
520;Jobs antwoord op Bildads derde betoog;Job 26:1;Job 27:23
521;Over de wijsheid;Job 28:1;Job 28:28
522;Slot van Jobs betoog;Job 29:1;Job 31:40
523;Elihu's betoog;Job 32:1;Job 37:24
524;Gods antwoord aan Job;Job 38:1;Job 41:26
525;Jobs antwoord aan God en zijn verdere lot;Job 42:1;Job 42:17
526;Intro;Spreuken 1:1;Spreuken 1:7
527;Hoed je voor slecht gezelschap;Spreuken 1:8;Spreuken 1:19
528;Oproep van Wijsheid;Spreuken 1:20;Spreuken 1:33
529;Wijsheid komt van de Heer;Spreuken 2:1;Spreuken 2:22
530;Heb ontzag voor de Heer;Spreuken 3:1;Spreuken 3:35
531;Laat je beschermen door de wijsheid;Spreuken 4:1;Spreuken 4:27
532;Mijd lichtzinnige vrouwen;Spreuken 5:1;Spreuken 5:23
533;Waarschuwingen wijzen de weg door het leven;Spreuken 6:1;Spreuken 6:19
534;Laat je niet in met de vrouw van een ander;Spreuken 6:20;Spreuken 7:27
535;Wijsheid spreekt;Spreuken 8:1;Spreuken 8:36
536;Wijsheid en dwaasheid;Spreuken 9:1;Spreuken 9:18
537;Spreuken van Salomo;Spreuken 10:1;Spreuken 24:22
538;Meer spreuken;Spreuken 24:23;Spreuken 24:34
539;Andere spreuken van Salomo;Spreuken 25:1;Spreuken 29:27
540;De uitspraken van Agur;Spreuken 30:1;Spreuken 30:14
541;Getalspreuken;Spreuken 30:15;Spreuken 30:33
542;Raadgevingen voor koning Lemuël;Spreuken 31:1;Spreuken 31:9
543;Loflied op de sterke vrouw;Spreuken 31:10;Spreuken 31:31
544;Intro;Prediker 1:1;Prediker 1:1
545;Lucht en leegte;Prediker 1:2;Prediker 1:11
546;Onderzoek naar wijsheid en dwaasheid;Prediker 1:12;Prediker 2:26
547;Alles heeft zijn tijd;Prediker 3:1;Prediker 3:15
548;Onrecht en onderdrukking;Prediker 3:16;Prediker 4:6
549;Beter met zijn tweeën dan alleen;Prediker 4:7;Prediker 4:12
550;Beter jong en wijs dan oud en dwaas;Prediker 4:13;Prediker 4:16
551;Los je geloften in;Prediker 4:17;Prediker 5:6
552;Ambtenaren beschermen elkaar;Prediker 5:7;Prediker 5:8
553;Rijkdom is leegte;Prediker 5:9;Prediker 6:12
554;Wijsheden;Prediker 7:1;Prediker 7:29
555;De zin van wat God doet;Prediker 8:1;Prediker 8:17
556;De vreugde van het leven;Prediker 9:1;Prediker 9:12
557;Dwaasheden;Prediker 9:13;Prediker 10:20
558;Gedenk je schepper in je jeugd;Prediker 11:1;Prediker 12:8
559;Heb ontzag voor God;Prediker 12:9;Prediker 12:14
560;Intro;Jesaja 1:1;Jesaja 1:1
561;Aanklacht tegen Israël en Jeruzalem;Jesaja 1:2;Jesaja 1:31
562;De dag van de Heer;Jesaja 2:1;Jesaja 2:22
563;Chaos in Jeruzalem en Juda;Jesaja 3:1;Jesaja 3:15
564;Sions vrouwen te schande gezet;Jesaja 3:16;Jesaja 4:1
565;De Heer vernieuwt Jeruzalem;Jesaja 4:2;Jesaja 4:6
566;Het lied van de wijngaard;Jesaja 5:1;Jesaja 5:7
567;Zesboudig wee over de onrechtvaardigen;Jesaja 6:1;Jesaja 6:24
568;Juda bedreigd door de vijand;Jesaja 6:25;Jesaja 6:30
569;Jesaja geroepen;Jesaja 6:1;Jesaja 6:13
570;Het teken van Immanuël;Jesaja 7:1;Jesaja 7:25
571;Onheil over een volk zonder vertrouwen;Jesaja 8:1;Jesaja 9:6
572;De opgeheven hand van de Heer;Jesaja 9:7;Jesaja 10:4
573;Oordeel over Assyrië, de stok in Gods hand;Jesaja 10:5;Jesaja 10:34
574;Vrede en gerechtigheid door de telg van Isaï;Jesaja 11:1;Jesaja 11:10
575;Terugkeer van de overlevenden van Israël;Jesaja 11:11;Jesaja 11:16
576;Loflied;Jesaja 12:1;Jesaja 12:6
577;De ondergang van Babylonië;Jesaja 13:1;Jesaja 14:23
578;Profetie over Assyrië en over de Filistijnen;Jesaja 14:24;Jesaja 14:32
579;De ondergang van Moab;Jesaja 15:1;Jesaja 16:14
580;Onheil over Aram en Israël;Jesaja 17:1;Jesaja 17:14
581;Profetie over Nubië;Jesaja 18:1;Jesaja 18:7
582;De val van Egypte en zijn herstel;Jesaja 19:1;Jesaja 19:25
583;Profetie over Egypte en Nubië;Jesaja 20:1;Jesaja 20:6
584;De val van Babel geopenbaard;Jesaja 21:1;Jesaja 21:17
585;Jeruzalems misplaatste zelfvertrouwen;Jesaja 22:1;Jesaja 22:14
586;Profetie over Sebna en Eljakim;Jesaja 22:15;Jesaja 22:25
587;De ondergang van Tyrus en Sidon;Jesaja 23:1;Jesaja 23:18
588;Oordeel over de aarde;Jesaja 24:1;Jesaja 24:23
589;Danklied;Jesaja 25:1;Jesaja 25:5
590;Het feestmaal op de Sion;Jesaja 25:6;Jesaja 25:12
591;Redding en vrede voor het rechtvaardige volk;Jesaja 26:1;Jesaja 27:1
592;Hoop voor Israël;Jesaja 27:2;Jesaja 27:13
593;Oordeel over Jeruzalems slechte leiders;Jesaja 28:1;Jesaja 28:29
594;Redding voor Jeruzalem in het nauw;Jesaja 29:1;Jesaja 29:24
595;Niet Egypte brengt bevrijding, maar de Heer;Jesaja 30:1;Jesaja 30:33
596;Alleen de Heer beschermt en bevrijdt;Jesaja 31:1;Jesaja 31:9
597;Vrede waar gerechtigheid heerst;Jesaja 32:1;Jesaja 32:20
598;Bevrijding van Jeruzalem;Jesaja 33:1;Jesaja 33:24
599;Oordeel over Edom;Jesaja 34:1;Jesaja 34:17
600;Bevrijding en terugkeer;Jesaja 35:1;Jesaja 35:10
601;Jeruzalem door Sanherib bedreigd;Jesaja 36:1;Jesaja 37:38
602;Hizkia's ziekte en genezing;Jesaja 38:1;Jesaja 39:8
603;Troost voor Jeruzalem;Jesaja 40:1;Jesaja 40:11
604;God is onvergelijkbaar;Jesaja 40:12;Jesaja 40:31
605;Wie bepaald de loop der dingen?;Jesaja 41:1;Jesaja 42:13
606;Een weg door de woestijn;Jesaja 42:14;Jesaja 43:21
607;Terugkeer naar God;Jesaja 43:22;Jesaja 44:23
608;Cyrus door God geroepen;Jesaja 44:24;Jesaja 45:13
609;Alleen de Heer is rechtvaardig en brengt redding;Jesaja 45:14;Jesaja 46:13
610;Babel in het stof;Jesaja 47:1;Jesaja 47:15
611;De dienaar van de Heer als bevrijder van zijn volk;Jesaja 48:1;Jesaja 49:13
612;Sions klachten door de Heer weerlegd;Jesaja 49:14;Jesaja 50:3
613;Vertrouwen op de Heer die helpt;Jesaja 50:4;Jesaja 50:11
614;Troost voor het volk: Jeruzalem vrijgekocht;Jesaja 51:1;Jesaja 53:12
615;Eerherstel voor Jeruzalem, de bruid van de Heer;Jesaja 54:1;Jesaja 54:17
616;Een nieuw verbond;Jesaja 55:1;Jesaja 55:13
617;Redding ook voor buitenstaanders;Jesaja 56:1;Jesaja 56:8
618;Ontrouwe profeten en overspelig volk;Jesaja 56:9;Jesaja 56:13
619;Troost voor de treurende;Jesaja 57:14;Jesaja 57:21
620;Vasten en sabbat;Jesaja 58:1;Jesaja 58:14
621;In de ban van het kwaad;Jesaja 59:1;Jesaja 59:15
622;De Heer redt en bevrijdt;Jesaja 59:15;Jesaja 59:21
623;Het nieuwe Jeruzalem;Jesaja 60:1;Jesaja 60:22
624;Profetie over de komende glorie;Jesaja 61:1;Jesaja 61:11
625;Vreugde over Jeruzalem;Jesaja 62:1;Jesaja 62:12
626;De wraak van de Heer;Jesaja 63:1;Jesaja 63:6
627;Waar is onze beschermer;Jesaja 63:7;Jesaja 64:11
628;De Heer zal goed én kwaad vergelden;Jesaja 65:1;Jesaja 65:25
629;Het oordeel van de Heer;Jesaja 66:1;Jesaja 66:24
630;Intro;Jeremia 1:1;Jeremia 1:3
631;Jeremia geroepen;Jeremia 1:4;Jeremia 1:19
632;Ontrouw van Israël en Juda;Jeremia 2:1;Jeremia 2:37
633;Oproep om terug te keren naar de Heer;Jeremia 3:1;Jeremia 4:4
634;De vijand uit het noorden in aantocht;Jeremia 4:5;Jeremia 4:31
635;Onrecht en dwaasheid in Juda;Jeremia 5:1;Jeremia 5:31
636;De ondergang van Juda is nabij;Jeremia 6:1;Jeremia 6:30
637;Straf voor Juda's godsdienstige praktijken;Jeremia 7:1;Jeremia 8:3
638;Het volk weigert naar de Heer terug te keren;Jeremia 8:4;Jeremia 8:17
639;Klacht van Jeremia, antwoord van de Heer;Jeremia 8:18;Jeremia 9:15
640;Oproep om een klaaglied te zingen;Jeremia 9:16;Jeremia 9:25
641;Volg andere volken niet na;Jeremia 10:1;Jeremia 10:16
642;Oproep om Jeruzalem te verlaten;Jeremia 10:17;Jeremia 10:25
643;Het verbond verbroken;Jeremia 11:1;Jeremia 11:17
644;Plan om Jeremia te doden;Jeremia 11:18;Jeremia 12:6
645;Straf en ontferming voor Israël en zijn buurvolken;Jeremia 12:7;Jeremia 12:17
646;Ondergang van Juda;Jeremia 13:1;Jeremia 13:27
647;De grote droogte;Jeremia 14:1;Jeremia 15:9
648;Klacht van Jeremia;Jeremia 15:10;Jeremia 15:21
649;Jeremia's levenslot als voorbeeld;Jeremia 16:1;Jeremia 16:18
650;Alleen de Heer is een toevlucht;Jeremia 16:19;Jeremia 17:18
651;De sabbat als heilige dag;Jeremia 17:19;Jeremia 17:27
652;Bij de pottenbakker;Jeremia 18:1;Jeremia 18:12
653;Israël keert zich af van de Heer en zijn profeet;Jeremia 18:13;Jeremia 18:23
654;De stukgeslagen kruik;Jeremia 19:1;Jeremia 20:6
655;Klach van Jeremia;Jeremia 20:7;Jeremia 20:18
656;Verzoek van koning Sedekia;Jeremia 21:1;Jeremia 21:10
657;Profetieën over de koningen van Juda;Jeremia 21:11;Jeremia 23:8
658;Profetieën over de profeten;Jeremia 23:9;Jeremia 23:40
659;De manden met vijgen;Jeremia 24:1;Jeremia 24:10
660;Profetieën over de volken;Jeremia 25:1;Jeremia 25:38
661;Jeremia om zijn profetie aangeklaagd;Jeremia 26:1;Jeremia 26:24
662;Het juk van Babylonië;Jeremia 27:1;Jeremia 27:22
663;De profeet Jeremia tegenover de profeet Chananja;Jeremia 28:1;Jeremia 28:17
664;Jeremia's brief aan de ballingen;Jeremia 29:1;Jeremia 29:32
665;Hoop voor Israël en Juda;Jeremia 30:1;Jeremia 31:40
666;De akker in Anatot;Jeremia 32:1;Jeremia 32:44
667;Belofte van herstel;Jeremia 33:1;Jeremia 33:26
668;Profetie over het einde van Sedekia;Jeremia 34:1;Jeremia 34:7
669;Vrijlating van de slaven herroepen;Jeremia 34:8;Jeremia 34:22
670;De Rechabieten als voorbeeld;Jeremia 35:1;Jeremia 35:19
671;Jeremia's boekrol voorgelezen en verbrand;Jeremia 36:1;Jeremia 36:32
672;Jeremia's gevangenschap;Jeremia 37:1;Jeremia 38:28
673;Jeremia vrijgelaten;Jeremia 38:28;Jeremia 40:6
674;De moord op Gedalja;Jeremia 40:7;Jeremia 41:18
675;Vlucht van de Judeeërs naar Egypte;Jeremia 42:1;Jeremia 43:13
676;De Judeeërs in Egypte door onheil getroffen;Jeremia 44:1;Jeremia 44:30
677;Baruchs leven gespaard;Jeremia 45:1;Jeremia 45:5
678;Profetie over Egypte;Jeremia 46:1;Jeremia 46:28
679;Profetie over de Filistijnen;Jeremia 47:1;Jeremia 47:7
680;Profetie over Moab;Jeremia 48:1;Jeremia 48:47
681;Profetie over Ammon;Jeremia 49:1;Jeremia 49:6
682;Profetie over Edom;Jeremia 49:7;Jeremia 49:22
683;Profetie over Damascus;Jeremia 49:23;Jeremia 49:27
684;Profetie over Kedar en de stammen rond Chasor;Jeremia 49:28;Jeremia 49:33
685;Profetie over Elam;Jeremia 49:34;Jeremia 49:39
686;Profetie over Babylonië;Jeremia 50:1;Jeremia 51:64
687;De verwoesting van Jeruzalem;Jeremia 52:1;Jeremia 52:34
688;Eerste lied: het bittere lot van Jeruzalem;Klaagliederen 1:1;Klaagliederen 1:22
689;Tweede lied: de Heer als vijand;Klaagliederen 2:1;Klaagliederen 2:22
690;Derde lied: wanhoop en hoop;Klaagliederen 3:1;Klaagliederen 3:66
691;Vierde lied: Sions schuld en ondergang;Klaagliederen 4:1;Klaagliederen 4:22
692;Vijfde lied: gebed om mededogen;Klaagliederen 5:1;Klaagliederen 5:22
693;Ezechiël geroepen;Ezechiël 1:1;Ezechiël 3:15
694;Ezechiël als wachter aangesteld;Ezechiël 3:16;Ezechiël 3:21
695;De val van Jeruzalem aangekondigd;Ezechiël 3:22;Ezechiël 5:17
696;Israël getroffen door het zwaard;Ezechiël 6:1;Ezechiël 6:14
697;Het einde komt;Ezechiël 7:1;Ezechiël 7:27
698;Visioen in de tempel van Jeruzalem;Ezechiël 8:1;Ezechiël 11:25
699;Een teken voor het opstandige volk;Ezechiël 12:1;Ezechiël 12:20
700;Ezechiël en de andere profeten;Ezechiël 12:21;Ezechiël 14:11
701;Het lot van Jeruzalem;Ezechiël 14:12;Ezechiël 14:23
702;Het hout van de wijnstok;Ezechiël 15:1;Ezechiël 15:8
703;Jeruzalems ontrouw;Ezechiël 16:1;Ezechiël 16:63
704;De adelaars en de wijnstok;Ezechiël 17:1;Ezechiël 17:24
705;Wie rechtvaarig handelt, zal leven;Ezechiël 18:1;Ezechiël 18:32
706;De leeuwin en de wijnstok;Ezechiël 19:1;Ezechiël 19:14
707;Israël opstandig en ontrouw;Ezechiël 20:1;Ezechiël 20:44
708;Het goddelijk zwaard;Ezechiël 21:1;Ezechiël 21:37
709;Oordeel over Jeruzalem;Ezechiël 22:1;Ezechiël 22:31
710;Ohola en Oholiba;Ezechiël 23:1;Ezechiël 23:49
711;De kookpot;Ezechiël 24:1;Ezechiël 24:14
712;Een plotselinge slag;Ezechiël 24:15;Ezechiël 24:27
713;Profetie tegen de volken die Israël omringen;Ezechiël 25:1;Ezechiël 25:17
714;Profetie tegen Tyrus;Ezechiël 26:1;Ezechiël 28:19
715;Profetie tegen Sidon;Ezechiël 28:20;Ezechiël 28:26
716;Profetie tegen Egypte;Ezechiël 29:1;Ezechiël 32:32
717;Ieder mens naar zijn daden beoordeeld;Ezechiël 33:1;Ezechiël 33:20
718;Ezechiël niet langer stom;Ezechiël 33:21;Ezechiël 33:22
719;Het onheil komt;Ezechiël 33:23;Ezechiël 33:33
720;De slechte herders en de goede herder;Ezechiël 34:1;Ezechiël 34:31
721;Profetie over het Seïrgebergte en de bergen van Israël;Ezechiël 35:1;Ezechiël 36:15
722;Omwille van mijn heilige naam;Ezechiël 36:16;Ezechiël 36:38
723;Een dal vol beenderen;Ezechiël 37:1;Ezechiël 37:14
724;Eén God, één volk, één herder;Ezechiël 37:15;Ezechiël 37:28
725;Gogs leger vernietigd;Ezechiël 38:1;Ezechiël 39:29
726;De nieuwe tempel;Ezechiël 40:1;Ezechiël 40:5
727;De oostpoort;Ezechiël 40:6;Ezechiël 40:16
728;De buitenhof;Ezechiël 40:17;Ezechiël 40:19
729;De noordpoort;Ezechiël 40:20;Ezechiël 40:23
730;De zuidpoort;Ezechiël 40:24;Ezechiël 40:27
731;De binnenste zuidpoort;Ezechiël 40:28;Ezechiël 40:31
732;De binnenste oostpoort;Ezechiël 40:32;Ezechiël 40:34
733;De binnenste noordpoort;Ezechiël 40:35;Ezechiël 40:37
734;De offerruimtes;Ezechiël 40:38;Ezechiël 40:47
735;Binnen in de tempel;Ezechiël 40:48;Ezechiël 41:4
736;De buitenkant van de tempel;Ezechiël 41:5;Ezechiël 41:11
737;Het gebouw achter de tempel;Ezechiël 41:12;Ezechiël 41:15
738;Inrichting van de tempel;Ezechiël 41:15;Ezechiël 41:26
739;De ruimten voor de priesters;Ezechiël 42:1;Ezechiël 42:14
740;Het tempelcomplex als geheel;Ezechiël 42:15;Ezechiël 42:20
741;De verschijning van de Heer keert terug in de tempel;Ezechiël 43:1;Ezechiël 43:12
742;Het altaar;Ezechiël 43:13;Ezechiël 43:17
743;Inwijding van het altaar;Ezechiël 43:18;Ezechiël 43:27
744;Toegang tot de tempel;Ezechiël 44:1;Ezechiël 44:9
745;De Levieten;Ezechiël 44:10;Ezechiël 44:14
746;De Levitische priesters;Ezechiël 44:15;Ezechiël 44:31
747;Verdeling van de grond;Ezechiël 45:1;Ezechiël 45:9
748;Belastingen;Ezechiël 45:10;Ezechiël 45:17
749;Feesten en offers;Ezechiël 45:18;Ezechiël 46:15
750;Grondbezit van de vorst;Ezechiël 46:16;Ezechiël 46:18
751;De offerkeukens;Ezechiël 46:19;Ezechiël 46:24
752;De rivier uit de tempel;Ezechiël 47:1;Ezechiël 47:12
753;De grenzen van het land;Ezechiël 47:12;Ezechiël 47:20
754;De verdeling van het land;Ezechiël 47:21;Ezechiël 48:29
755;De heilige stad;Ezechiël 48:30;Ezechiël 48:35
756;Aan het Babylonische hof;Daniël 1:1;Daniël 1:21
757;De droom van Nebukadnessar;Daniël 2:1;Daniël 2:49
758;Het gouden beeld;Daniël 3:1;Daniël 3:30
759;Nebukadnessar door de mensen verstoten;Daniël 3:31;Daniël 4:34
760;Het feestmaal van Belsassar;Daniël 5:1;Daniël 6:1
761;Daniël in de leeuwenkuil;Daniël 6:2;Daniël 6:29
762;Het visioen van de vier dieren;Daniël 7:1;Daniël 7:28
763;Het visioen van de ram en de geitenbok;Daniël 8:1;Daniël 8:27
764;Openbaring aan Daniël over de zeventig weken;Daniël 9:1;Daniël 9:27
765;De eindtijd;Daniël 10:1;Daniël 12:13
766;Intro;Hosea 1:1;Hosea 1:1
767;Israëls ontrouw;Hosea 1:2;Hosea 2:3
768;Israëls ontrouw beantwoord met liefde;Hosea 2:4;Hosea 2:25
769;Israëls liefde afgedwongen;Hosea 3:1;Hosea 3:5
770;Aanklacht tegen volk en priesters;Hosea 4:1;Hosea 4:19
771;Oordeel over de leiders;Hosea 5:1;Hosea 5:15
772;Israëls boetelied en Gods antwoord;Hosea 6:1;Hosea 7:16
